DEAL_ID,STAGE_CREATED_AT,PIPELINE_ID,PIPELINE_NAME,DEAL_STAGE_ID,STAGE_NAME,STAGE_DISPLAY_ORDER
13434822801,2023-05-31T10:02:59.408Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13435483441,2023-06-08T12:44:29.719Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13436367624,2023-09-04T15:33:59.137Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
13436367624,2023-07-31T17:31:23.886Z,default,Mid Market Pipeline,50c5d313-d204-4ec7-9a0e-203e0a4c02c1,Qualified,6
13436367624,2023-05-24T22:47:08.14Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13442006540,2023-05-30T15:07:51.479Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
13442006540,2023-05-29T21:39:11.888Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13442064002,2023-05-31T16:48:14.377Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
13442064002,2023-05-25T20:29:22.796Z,default,Mid Market Pipeline,decisionmakerboughtin,Proposal/Pricing,8
13442064002,2023-05-25T09:31:59.618Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13444869647,2023-05-26T15:53:13.802Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13445364255,2023-06-20T13:21:06.582Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
13445364255,2023-06-05T13:58:22.359Z,default,Mid Market Pipeline,50c5d313-d204-4ec7-9a0e-203e0a4c02c1,Qualified,6
13445364255,2023-05-25T15:23:57.794Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13447703431,2023-06-01T13:36:23.243Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
13447703431,2023-05-29T21:55:06.542Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13467410001,2023-06-15T16:20:15.871Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
13467410001,2023-05-29T14:59:45.33Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13479247012,2023-05-29T15:13:13.868Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13505638670,2023-05-30T23:47:19.474Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
13505638670,2023-05-30T14:01:47.354Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13505638670,2023-05-17T16:29:45.528Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13505734407,2023-07-27T13:56:40.262Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
13505734407,2023-06-21T17:10:54.154Z,default,Mid Market Pipeline,f08680df-ebe7-4186-bf77-d251deb988df,Keep Warm,4
13505734407,2023-05-30T14:48:39.321Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13508830838,2023-10-04T17:48:41.792Z,default,Mid Market Pipeline,decisionmakerboughtin,Proposal/Pricing,8
13512589111,2023-07-05T17:38:54.959Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
13512589111,2023-06-12T16:39:59.798Z,default,Mid Market Pipeline,7a4a93c3-1a67-41df-a897-eebfb3635996,Proof of Value,7
13512589111,2023-06-01T07:12:09.881Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13520572756,2023-06-15T08:16:30.124Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13522770094,2023-07-10T13:19:28.96Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
