DEAL_ID,PIPELINE_ID,PIPELINE_NAME,STAGE_NAME,AMOUNT_IN_HOME_CURRENCY,CREATED_AT,CLOSE_DATE,DEAL_SOURCE_TYPE
13205460801,default,Mid Market Pipeline,Closed Lost,,2023-05-02T13:49:28.352Z,2023-05-08T16:35:56.681Z,Tradeshows and Events
13206396272,default,Mid Market Pipeline,Closed Lost,,2023-05-02T16:46:05.634Z,2023-05-30T15:33:56.073Z,Support & CS
13216976496,default,Mid Market Pipeline,Closed Won,45450,2023-05-03T17:00:49.314Z,2023-08-15T09:55:41.37Z,Website
13218201350,default,Mid Market Pipeline,Closed Won,3960,2023-04-20T22:35:47.315Z,2024-02-05T12:34:08Z,Tradeshows and Events
13246389102,default,Mid Market Pipeline,Closed Won,10600,2023-05-05T21:47:53.064Z,2023-05-31T11:16:06.108Z,PPC / Paid Advertising
13274388303,default,Mid Market Pipeline,Closed Lost,,2023-05-09T07:03:56.266Z,2023-05-12T07:19:33.479Z,Sales Outbound
13291392871,default,Mid Market Pipeline,Closed Lost,,2023-05-10T16:40:57.056Z,2023-06-05T08:29:07.533Z,Sales Outbound
13305223328,default,Mid Market Pipeline,Closed Won,10100,2023-05-11T17:59:03.149Z,2023-12-15T16:22:00.304Z,Webinar
13306486842,default,Mid Market Pipeline,Closed Won,13390,2023-05-11T19:59:41.349Z,2023-09-08T10:37:56.29Z,Website
13352756581,default,Mid Market Pipeline,Keep Warm,,2023-05-16T10:37:14.889Z,,Website
13365527304,default,Mid Market Pipeline,Closed Lost,10600,2023-05-17T10:22:30.368Z,2023-06-05T14:20:59.024Z,PPC / Paid Advertising
13366974084,default,Mid Market Pipeline,Closed Lost,,2023-05-17T14:38:38.003Z,2023-10-09T14:58:40.071Z,Sales Outbound
13376528941,default,Mid Market Pipeline,Closed Lost,,2023-05-18T11:43:37.425Z,2023-08-02T11:30:15.243Z,Website
13377878883,default,Mid Market Pipeline,Closed Lost,,2023-05-18T13:53:37.205Z,2023-06-23T13:16:21.328Z,Website
