deal_stage_key,deal_key,deal_id,stage_created_at,pipeline_id,pipeline_name,deal_stage_id,pipeline_stage_name,stage_display_order
tqEcgrtTakmmUHNKw/v+XG3N5IdIvrLjjh6K10oDW7U=,cfm/QI3QVPvr1h57lVSbf6gpmgrcClj/v8nQlZHi4lQ=,11995774279,2023-02-07 23:08:02.458000 UTC,DEFAULT,MID MARKET PIPELINE,7960224,LEAD ENGAGED,1
ntQDshdDp/reSFlUP2l/fE1m0j5+yox34POuFgDKnQY=,3t35AyjFPpR1HJDPKEVLOBGrxG8t3s02x8eqi3frp6g=,15284329299,2023-09-21 21:55:18.979000 UTC,DEFAULT,MID MARKET PIPELINE,7960224,LEAD ENGAGED,1
p6etyc3saXen4QLq8QQyuvfZwnK6/WD2caWCvSqgIPo=,KYWwsmLlyHau9CRegJ0yJknc9xOJ7AkA6qUZ+Wkr4LI=,11832700342,2023-01-24 17:19:14.099000 UTC,DEFAULT,MID MARKET PIPELINE,7960224,LEAD ENGAGED,1
gaxWBbMk8Wgaq2dohjwqQBdAa5MzzqhGYcn9RXEaaS8=,mDvu1S0M9scSLXdDMvSi7v4DpH+O9eDbzlpQJFx3TaA=,15329819250,2023-09-28 16:31:41.077000 UTC,DEFAULT,MID MARKET PIPELINE,7960224,LEAD ENGAGED,1
ZEpTu/RxQdpNiguVigqQLWgozjM1+GB3aJeMWAG5GaA=,MOzxze6wYp4TLaS2aU0Nviomt8DzNQGPCjMoEFcNjdQ=,12097040277,2023-02-10 09:22:38.233000 UTC,DEFAULT,MID MARKET PIPELINE,7960224,LEAD ENGAGED,1
NRrq4V9OdnM/x8jl2JJ8lnwlV8kXreLcSzHxaYOr9bY=,T5I6YM8NZilwXepBzgiNZtMCOMn38rKhLLNegcG4HKU=,13154480478,2023-05-04 21:06:04.231000 UTC,DEFAULT,MID MARKET PIPELINE,7960224,LEAD ENGAGED,1
2mAFHfo1mZm6pm9AI2jH40FfOsGHbkKg1UH1HAJdyv8=,5iY2SdEFGN0kaSgHxMSeNCq4MgSVl3d9GtT4fqp96zc=,15126740913,2023-09-19 16:01:55.918000 UTC,DEFAULT,MID MARKET PIPELINE,7960224,LEAD ENGAGED,1
NZSZvejyZQsiZJHzVjsO53ksB8e/Mv/eTCc1MbfI70w=,C+ZDxMVOCxUnYKDCNY7yGF/SEA8XYrBonADpjhiHnxk=,14304505664,2023-07-21 14:29:33.006000 UTC,DEFAULT,MID MARKET PIPELINE,7960224,LEAD ENGAGED,1
WEH+zVsGycPYgR9GhCRHJ/sZXsWpj32lvOyl1eUuSxY=,rB1eJHM+Tuf472CcNt5EkTwIyaeMu4qTxXxRjtMGKvY=,15848578645,2023-10-30 18:19:32.216000 UTC,DEFAULT,MID MARKET PIPELINE,7960224,LEAD ENGAGED,1
V4vkxBf+eaze2FcInWfBLAhoj/NNIQlB9FxihotI31w=,3t35AyjFPpR1HJDPKEVLOBGrxG8t3s02x8eqi3frp6g=,15284329299,2023-09-22 15:07:02.062000 UTC,DEFAULT,MID MARKET PIPELINE,7960224,LEAD ENGAGED,1
nQWrkhmrW5bcyLVuQwNYitb05pSVyEUVxiteQ7Pqfto=,vUXPIvYFu0pbdw2Hd4fRcDwBovN63NaASRc5z+64jBE=,13678238518,2023-06-12 17:22:25.811000 UTC,DEFAULT,MID MARKET PIPELINE,7960224,LEAD ENGAGED,1
MGlP8YsibcSYcAlxFdpDAsFh0CygmVKSRizG9N3n41c=,r5nmxmv+hfk9tcTosdSmVmG+vBGH1nGgQKwLh2r25+Q=,13928160612,2023-08-10 18:45:32.873000 UTC,DEFAULT,MID MARKET PIPELINE,7960224,LEAD ENGAGED,1
DooCC/08need50nbsKPDr8NK9xHC92w7anYJN8PpDSg=,B5sNwNeiu8NjMIAdrCooGaK4ARJnxDgx87i0HkBulks=,15758727453,2023-10-23 20:12:22.208000 UTC,DEFAULT,MID MARKET PIPELINE,7960224,LEAD ENGAGED,1
2CH7MN2ex7eAanjbJfbHneY54zSFOiS9n5+yePhXEP8=,yhEaJcJh3XcYF1Mx26t+QJrhXptE1rTd9c2T0UmuG2Q=,14829021489,2023-08-25 15:20:06.358000 UTC,DEFAULT,MID MARKET PIPELINE,7960224,LEAD ENGAGED,1
UOmYu5PNFmGH9t525aM1Kva/pEC/lniRjGXYva25nV0=,idn4n6LbolQO9e7uiAQ+v8ACeFYdPRqbj8jVCqH9Vqw=,11815735358,2023-01-25 11:27:08.648000 UTC,DEFAULT,MID MARKET PIPELINE,7960224,LEAD ENGAGED,1
Nxi49oxtmA5w7ghTIl29mh52LyP2Qo+JDSd5BXmXah0=,b7Q8DHWLkeI3QbTEakA+Y4wShDvcdk0XEeGi4pnVDQg=,12636415117,2023-03-21 06:29:37.005000 UTC,DEFAULT,MID MARKET PIPELINE,7960224,LEAD ENGAGED,1
o7GEkk+YXCJInllYevQgsHKr7cbszzGH7iinkY9PuAM=,eu1ttccQ9ZzI5yiG2l8GBEWH/e7SZBwcqlBA7CrO/q0=,13710312216,2023-06-23 16:15:22.040000 UTC,DEFAULT,MID MARKET PIPELINE,7960224,LEAD ENGAGED,1
